广告活动,SKU,ASIN,状态
词组拓词,A款-单片-47x17,C03,paused
属性-防霉款,A款-两片装-35x16,C11,enabled
自动-低价,A款-单片-47x17,C03,paused
广泛大词,A款-单片-47x17,C03,paused
词组主干,A款-单片-40x16,C07,enabled
词组拓词,A款-单片-40x16,C07,enabled
ASIN定位-3,A款-单片-35x16,C04,enabled
词组主干,A款-单片-47x17,C03,paused
属性-吸盘款2,B款-单片-35x16,C18,enabled
词组拓词,A款-单片-28x16,C05,paused
ASIN定位-2,A款-两片装-35x16,C11,enabled
精确主干,B款-单片-40x16,C21,enabled
精确主干,A款-单片-47x17,C03,paused
词组拓词,A款-单片-35x16,C04,enabled
类目定位,A款-单片-40x16,C07,enabled
ASIN定位-1,A款-单片-27x27,C02,enabled
精确主干,B款-单片-35x16,C18,enabled
自动-主,A款-单片-35x16,C04,enabled
词组拓词,A款-单片-27x27,C02,paused
自动-低价,A款-单片-35x16,C04,enabled
ASIN定位-3,B款-单片-35x16,C18,paused
词组拓词,B款-单片-35x16,C18,enabled
品类主题,A款-两片装-35x16,C11,enabled
精确主干,A款-两片装-35x16,C11,enabled
属性-防霉款,B款-单片-35x16,C18,enabled
ASIN定位-3,A款-两片装-35x16,C11,paused
广泛大词,A款-单片-27x27,C02,enabled
精确主干,A款-单片-28x16,C05,enabled
词组主干,A款-单片-21x21,C01,paused
词组主干,A款-单片-35x16,C04,enabled
自动-低价,A款-单片-28x16,C05,enabled
属性-吸盘款,A款-两片装-35x16,C11,enabled
自动-主,A款-单片-24x14,C06,paused
品类主题,B款-单片-35x16,C18,enabled
ASIN定位-1,A款-单片-35x16,C04,enabled
属性-防霉款,A款-单片-35x16,C04,enabled
词组拓词,A款-单片-24x14,C06,enabled
自动-低价,A款-两片装-35x16,C11,enabled
精确主干,B款-单片-28x16,C19,enabled
自动-主,A款-单片-27x27,C02,paused
自动-低价,B款-单片-35x16,C18,enabled
ASIN定位-2,A款-单片-35x16,C04,paused
ASIN定位-1,A款-单片-47x17,C03,enabled
自动-低价,A款-单片-24x14,C06,paused
属性-吸盘款2,A款-单片-35x16,C04,enabled
自动-主,A款-单片-21x21,C01,paused
广泛大词,A款-单片-35x16,C04,enabled
自动-主,B款-单片-35x16,C18,enabled
自动-主,A款-单片-28x16,C05,paused
精确主干,A款-单片-35x16,C04,enabled
类目定位,A款-单片-21x21,C01,enabled
ASIN定位-1,A款-单片-24x14,C06,enabled
精确主干,A款-单片-21x21,C01,paused
词组主干,A款-两片装-35x16,C11,enabled
词组主干,A款-单片-27x27,C02,enabled
词组主干,B款-单片-35x16,C18,enabled
类目定位,A款-单片-24x14,C06,paused
ASIN定位-2,B款-单片-35x16,C18,paused
广泛大词,A款-单片-40x16,C07,paused
词组拓词,A款-单片-21x21,C01,paused
类目定位,A款-单片-27x27,C02,enabled
精确主干,A款-单片-24x14,C06,paused
自动-主,A款-两片装-35x16,C11,enabled
属性-吸盘款,A款-单片-35x16,C04,enabled
ASIN定位-1,A款-单片-40x16,C07,enabled
属性-吸盘款,B款-单片-35x16,C18,enabled
类目定位,A款-单片-47x17,C03,enabled
精确主干,A款-单片-27x27,C02,paused
词组主干,A款-单片-24x14,C06,paused
品类主题,A款-单片-35x16,C04,enabled
类目定位,A款-单片-28x16,C05,enabled
自动-低价,A款-单片-21x21,C01,enabled
词组主干,A款-单片-28x16,C05,enabled
类目定位,A款-两片装-35x16,C11,enabled
类目定位,A款-单片-35x16,C04,enabled
广泛大词,A款-单片-21x21,C01,paused
自动-低价,A款-单片-40x16,C07,enabled
自动-主,A款-单片-47x17,C03,enabled
精确主干,A款-单片-40x16,C07,enabled
广泛大词,A款-单片-24x14,C06,paused
广泛大词,B款-单片-35x16,C18,enabled
ASIN定位-1,A款-单片-28x16,C05,enabled
自动-低价,A款-单片-27x27,C02,enabled
属性-吸盘款2,A款-两片装-35x16,C11,enabled
广泛大词,A款-单片-28x16,C05,paused
自动-主,A款-单片-40x16,C07,paused
类目定位,B款-单片-35x16,C18,enabled
ASIN定位-1,A款-单片-21x21,C01,enabled
广泛大词,A款-两片装-35x16,C11,enabled
词组拓词,A款-两片装-35x16,C11,enabled
