SKU,可售,调拨中,途中,上上周销量,上周销量,上周退款,上周广告费,上周销售额
A款-单片-35x16,45,112,381,168,201,9,3341,4837
A款-单片-40x16,0,99,359,115,121,7,240,2921
A款-单片-28x16,110,62,0,66,86,7,77,2073
B款-单片-35x16,418,25,0,53,69,3,743,1664
A款-单片-21x21,56,52,0,47,56,5,6,1351
A款-两片装-35x16,124,7,4,48,47,4,613,1651
A款-单片-27x27,95,1,0,23,46,5,569,1100
B款-单片-40x16,372,11,0,38,44,9,1,1068
A款-两片装-27x27,54,3,0,13,27,4,1,963
A款-两片装-40x16,103,1,44,44,22,3,1,780
B款-单片-28x16,323,12,69,31,21,1,1,503
A款-两片装-28x16,85,25,0,18,18,1,1,642
B款-单片-21x21,230,0,0,30,17,1,1,408
A款-两片装-21x21,69,4,0,29,17,5,1,596
A款-单片-24x14,94,1,0,14,16,1,4,377
A款-单片-47x17,99,0,0,14,9,3,0,220
B款-单片-27x27,91,106,0,0,9,0,0,220
A款-两片装-47x17,45,0,0,4,8,0,0,275
B款-单片-47x17,53,91,0,0,4,0,0,94
A款-两片装-24x14,60,3,0,3,3,0,0,92
B款-单片-24x14,56,69,0,0,0,0,0,0
