Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales,Total Advertising Cost of Sales (ACOS),Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales,7 Day Other SKU Sales
"Jul 11, 2026",,USD,词组主干,词组主干 组,nonslip bathtub mat,PHRASE,anti slip bathtub mat,222,2,0.9%,$1.10,$2.20,$24.11,,,1,1,,,,,
"Jul 14, 2026",,USD,词组主干,词组主干 组,nonslip bathtub mat,PHRASE,anti slip bathtub mat,124,1,0.81%,$1.10,$1.10,$0.00,,,0,0,,,,,
"Jul 08, 2026",,USD,词组主干,词组主干 组,nonslip bathtub mat,PHRASE,nonslip bathtub mat,72,1,1.39%,$0.98,$0.98,$0.00,,,0,0,,,,,
"Jul 12, 2026",,USD,词组主干,词组主干 组,nonslip bathtub mat,PHRASE,nonslip bathtub mat,596,4,0.67%,$1.10,$4.41,$24.11,,,1,1,,,,,
"Jul 13, 2026",,USD,词组主干,词组主干 组,nonslip bathtub mat,PHRASE,nonslip bathtub mat,52,1,1.92%,$1.10,$1.10,$0.00,,,0,0,,,,,
"Jul 11, 2026",,USD,词组主干,词组主干 组,nonslip bathtub mat,PHRASE,non slip bathtub mat,2795,4,0.14%,$1.10,$4.41,$24.11,,,1,1,,,,,
"Jul 12, 2026",,USD,词组主干,词组主干 组,nonslip bathtub mat,PHRASE,non slip bathtub mat,225,1,0.44%,$1.10,$1.10,$0.00,,,0,0,,,,,
"Jul 15, 2026",,USD,词组主干,词组主干 组,nonslip bathtub mat,PHRASE,non slip bathtub mat,331,3,0.91%,$1.10,$3.31,$0.00,,,0,0,,,,,
"Jul 11, 2026",,USD,词组主干,词组主干 组,nonslip bathtub mat,PHRASE,non slip bathtub mat machine washable,1392,8,0.57%,$1.06,$8.45,$0.00,,,0,0,,,,,
"Jul 14, 2026",,USD,词组主干,词组主干 组,nonslip bathtub mat,PHRASE,non slip bathtub mat machine washable,289,2,0.69%,$1.10,$2.20,$0.00,,,0,0,,,,,
"Jul 15, 2026",,USD,词组主干,词组主干 组,nonslip bathtub mat,PHRASE,non slip bathtub mat machine washable,423,4,0.95%,$1.10,$4.41,$0.00,,,0,0,,,,,
"Jul 11, 2026",,USD,词组主干,词组主干 组,nonslip bathtub mat machine washable,PHRASE,nonslip bathtub mat machine washable,254,3,1.18%,$1.10,$3.31,$0.00,,,0,0,,,,,
"Jul 15, 2026",,USD,词组主干,词组主干 组,nonslip bathtub mat machine washable,PHRASE,nonslip bathtub mat machine washable,8,1,12.5%,$1.10,$1.10,$0.00,,,0,0,,,,,
"Jul 12, 2026",,USD,词组主干,词组主干 组,nonslip bathtub mat machine washable,PHRASE,non slip bathtub mat machine washable,176,1,0.57%,$1.03,$1.03,$0.00,,,0,0,,,,,
"Jul 13, 2026",,USD,词组主干,词组主干 组,nonslip bathtub mat machine washable,PHRASE,non slip bathtub mat machine washable,489,3,0.61%,$1.10,$3.31,$0.00,,,0,0,,,,,
"Aug 02, 2026",,USD,属性-吸盘款2,属性-吸盘款2 组,non slip bathtub mat with suction cups,BROAD,bathtub runners non slip,1,1,100.0%,$0.80,$0.80,$72.32,,,3,3,,,,,
"Jul 19, 2026",,USD,词组主干,词组主干 组,machine washable bathtub mat non slip,PHRASE,best machine washable bathtub mat non slip hotel mini rv,2,2,100.0%,$1.10,$2.20,$0.00,,,0,0,,,,,
"Jul 24, 2026",,USD,词组主干,词组主干 组,machine washable bathtub mat non slip,PHRASE,halvex machine washable bathtub mat non slip,9,2,22.22%,$1.10,$2.20,$0.00,,,0,0,,,,,
"Jul 29, 2026",,USD,词组主干,词组主干 组,machine washable bathtub mat non slip,PHRASE,norvane machine washable bathtub mat non slip,3,2,66.67%,$1.10,$2.20,$0.00,,,0,0,,,,,
"Aug 02, 2026",,USD,词组主干,词组主干 组,machine washable bathtub mat non slip,PHRASE,machine washable bathtub mat non slip,54,1,1.85%,$1.10,$1.10,$0.00,,,0,0,,,,,
"Jul 19, 2026",,USD,词组主干,词组主干 组,machine washable bathtub mat non slip,PHRASE,machine washable bathtub mat anti slip strong and original,6,1,16.67%,$1.10,$1.10,$0.00,,,0,0,,,,,
"Jul 30, 2026",,USD,属性-吸盘款,属性-吸盘款 组,anti slip bath towel mat with suction cups,BROAD,non slip textured runner rugs big and dorm with tub floor everyday nordic travel in,1,1,100.0%,$0.91,$0.91,$0.00,,,0,0,,,,,
"Jul 23, 2026",,USD,属性-吸盘款,属性-吸盘款 组,anti slip bath towel mat with suction cups,BROAD,non slip shower curtain mat,9,1,11.11%,$1.02,$1.02,$0.00,,,0,0,,,,,
"Jul 28, 2026",,USD,属性-吸盘款,属性-吸盘款 组,anti slip bath towel mat with suction cups,BROAD,non slip shower curtain mat,5,1,20.0%,$1.02,$1.02,$0.00,,,0,0,,,,,
"Jul 25, 2026",,USD,属性-吸盘款,属性-吸盘款 组,anti slip bath towel mat with suction cups,BROAD,non slip bathtub mat,13,1,7.69%,$1.02,$1.02,$0.00,,,0,0,,,,,
"Jul 24, 2026",,USD,属性-吸盘款,属性-吸盘款 组,anti slip bath towel mat with suction cups,BROAD,non slip bath towel,24,2,8.33%,$1.02,$2.04,$24.11,,,1,1,,,,,
"Jul 25, 2026",,USD,属性-吸盘款,属性-吸盘款 组,anti slip bath towel mat with suction cups,BROAD,durable bath towel non slip,9,1,11.11%,$1.02,$1.02,$0.00,,,0,0,,,,,
"Jul 27, 2026",,USD,属性-吸盘款,属性-吸盘款 组,anti slip bath towel mat with suction cups,BROAD,bath towels non slip,46,1,2.17%,$1.02,$1.02,$0.00,,,0,0,,,,,
"Jul 25, 2026",,USD,属性-吸盘款,属性-吸盘款 组,anti slip bath towel mat with suction cups,BROAD,bath towels non slip classic resistant,17,1,5.88%,$1.01,$1.01,$0.00,,,0,0,,,,,
"Jul 07, 2026",,USD,精确主干,精确主干 组,bathtub mat non slip,EXACT,bathtub mat non slip,533,1,0.19%,$0.98,$0.98,$0.00,,,0,0,,,,,
"Jul 12, 2026",,USD,精确主干,精确主干 组,bathtub mat non slip,EXACT,bathtub mat non slip,27,2,7.41%,$1.06,$2.12,$0.00,,,0,0,,,,,
"Jul 21, 2026",,USD,精确主干,精确主干 组,bathtub mat non slip,EXACT,bathtub mat non slip,128,1,0.78%,$1.06,$1.06,$0.00,,,0,0,,,,,
"Jul 22, 2026",,USD,精确主干,精确主干 组,bathtub mat non slip,EXACT,bathtub mat non slip,1318,7,0.53%,$1.06,$7.43,$0.00,,,0,0,,,,,
"Jul 23, 2026",,USD,精确主干,精确主干 组,bathtub mat non slip,EXACT,bathtub mat non slip,757,6,0.79%,$1.06,$6.36,$0.00,,,0,0,,,,,
"Jul 24, 2026",,USD,精确主干,精确主干 组,bathtub mat non slip,EXACT,bathtub mat non slip,2315,10,0.43%,$1.06,$10.59,$111.21,,,4,4,,,,,
